price,Actual Price,area,status,bhk,bathroom,age,location,builder
91.18,9118000,1520,Ready to move,2,,4,Kolapakkam,Poojaa Foundation
181,18100000,3024,Ready to move,5,,4,Kolapakkam,Poojaa Foundation
181,18100000,3024,Ready to move,5,,4,Kolapakkam,Poojaa Foundation
97,9700000,1617,Ready to move,2,,4,Kolapakkam,Poojaa Foundation
97,9700000,1617,Ready to move,2,,4,Kolapakkam,Poojaa Foundation
80.26,8026000,1338,Ready to move,2,,4,Kolapakkam,Poojaa Foundation
80.26,8026000,1338,Ready to move,2,,4,Kolapakkam,Poojaa Foundation
53.83,5383000,997,Ready to move,2,,1,Poonamallee,Poojaa Foundation
266,26600000,1540,Under Construction,3,,0,Anna Nagar,India Builders Limited
275,27500000,1520,Under Construction,3,,0,Anna Nagar,India Builders Limited
275,27500000,1525,Under Construction,3,,0,Anna Nagar,India Builders Limited
242,24200000,1400,Under Construction,3,,0,Kilpauk,India Builders Limited
264,26400000,1500,Under Construction,3,3,0,Anna Nagar,India Builders Limited
276,27600000,1450,Under Construction,3,,0,Besant Nagar,India Builders Limited
225,22500000,1240,Under Construction,2,,0,Anna Nagar,India Builders Limited
220,22000000,1215,Under Construction,2,,0,Anna Nagar,India Builders Limited
250,25000000,1375,Ready to move,3,3,,Anna Nagar,India Builders Limited
411,41100000,2230,Under Construction,4,4,0,Adyar,India Builders Limited
295,29500000,1520,Under Construction,3,,0,T Nagar,India Builders Limited
63.1,6310000,1242,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd
650,65000000,6023,Ready to move,4,,5,Sholinganallur,Prestige Estates Projects Ltd
130,13000000,1166,Ready to move,2,,5,Sholinganallur,Prestige Estates Projects Ltd
191,19100000,2474,Ready to move,4,,6,Iyappanthangal,Prestige Estates Projects Ltd
176,17600000,2277,Ready to move,4,,6,Iyappanthangal,Prestige Estates Projects Ltd
130,13000000,1800,Ready to move,3,,6,Iyappanthangal,Prestige Estates Projects Ltd
195,19500000,2533,Ready to move,4,,6,Iyappanthangal,Prestige Estates Projects Ltd
139,13900000,1938,Ready to move,3,,6,Iyappanthangal,Prestige Estates Projects Ltd
202,20200000,2621,Ready to move,4,,6,Iyappanthangal,Prestige Estates Projects Ltd
143,14300000,1990,Ready to move,3,,6,Iyappanthangal,Prestige Estates Projects Ltd
131,13100000,1825,Ready to move,3,,6,Iyappanthangal,Prestige Estates Projects Ltd
63.1,6310000,1242,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd
33.71,3371000,604,Under Construction,1,,0,Sholinganallur,Prestige Estates Projects Ltd
33.66,3366000,603,Under Construction,1,,0,Sholinganallur,Prestige Estates Projects Ltd
63.51,6351000,1250,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd
63.3,6330000,1246,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd
33.77,3377000,605,Under Construction,1,1,0,Sholinganallur,Prestige Estates Projects Ltd
33.44,3344000,599,Under Construction,1,1,0,Sholinganallur,Prestige Estates Projects Ltd
33.6,3360000,602,Under Construction,1,1,0,Sholinganallur,Prestige Estates Projects Ltd
88.75,8875000,1761,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd
62.85,6285000,1237,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd
94.19,9419000,1869,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd
77.54,7754000,1468,Under Construction,2,,0,Sholinganallur,Prestige Estates Projects Ltd
70.2,7020000,1329,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd
87.79,8779000,1742,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd
68.64,6864000,1351,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd
88.04,8804000,1747,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd
93.49,9349000,1855,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd
80.23,8023000,1592,Under Construction,3,3,0,Sholinganallur,Prestige Estates Projects Ltd
92.43,9243000,1834,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd
86.08,8608000,1708,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd
79.38,7938000,1575,Under Construction,3,2,0,Sholinganallur,Prestige Estates Projects Ltd
91.87,9187000,1823,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd
85.12,8512000,1689,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd
90.77,9077000,1801,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd
65.28,6528000,1285,Under Construction,2,,0,Sholinganallur,Prestige Estates Projects Ltd
63.96,6396000,1259,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd
64.52,6452000,1270,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd
64.47,6447000,1269,Under Construction,2,,0,Sholinganallur,Prestige Estates Projects Ltd
90.31,9031000,1792,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd
83.66,8366000,1660,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd
40,4000000,1047,Ready to move,2,2,4,Vellakkal,seller
42.43,4243000,943,Ready to move,2,2,4,Gerugambakkam,seller
46,4600000,900,Ready to move,2,2,,Avadi,seller
65,6500000,1600,Under Construction,3,2,,Kolathur,seller
135,13500000,1415,Ready to move,3,3,,Thiruvanmiyur,seller
220,22000000,1500,Ready to move,3,2,11,Anna Nagar,seller
48,4800000,1300,Ready to move,2,,,Madhavaram,seller
370,37000000,3600,Ready to move,3,3,,Periyar Nagar,seller
72,7200000,1400,Ready to move,3,2,7,Thoraipakkam OMR,seller
74,7400000,1100,Under Construction,3,3,,Nanmangalam,seller
45,4500000,909,Ready to move,2,2,3,Perumbakkam,seller
54,5400000,893,Ready to move,2,2,,Kolathur,seller
140,14000000,1270,Ready to move,3,2,13,Thiruvanmiyur,seller
72,7200000,1218,Under Construction,3,3,,Sembakkam,seller
65,6500000,919,Ready to move,2,2,,Madipakkam,seller
27,2700000,756,Ready to move,2,2,,Anakaputhur,seller
52.5,5250000,550,Ready to move,1,1,,Urapakkam,seller
63,6300000,1000,Ready to move,2,2,,Kovur,seller
54,5400000,1200,Ready to move,2,2,,Medavakkam,seller
163,16300000,1154,Ready to move,2,2,,Nungambakkam,seller
26,2600000,540,Ready to move,1,1,,Maduravoyal,seller
60,6000000,1066,Ready to move,2,2,,Velachery,seller
210,21000000,1381,Under Construction,3,3,,Adyar,seller
100,10000000,1735,Ready to move,3,3,7,Guduvancheri,seller
30.5,3050000,770,Ready to move,2,2,,Pammal,seller
36,3600000,827,Ready to move,2,2,,Urapakkam,seller
82,8200000,1900,Ready to move,3,3,,Kolapakkam,seller
210,21000000,2500,Ready to move,3,,,Sembakkam,seller
55,5500000,1050,Ready to move,1,2,9,Koyambedu,seller
75,7500000,850,Under Construction,2,2,,Korattur,seller
165,16500000,2280,Ready to move,4,3,5,Iyyappanthangal,seller
110,11000000,2740,Ready to move,4,2,,Kilpauk,seller
182,18200000,2640,Ready to move,4,4,,Madhavaram Milk Colony,seller
160,16000000,2700,Ready to move,4,3,,Kolathur,seller
220,22000000,1438,Ready to move,3,2,3,Jeth Nagar,seller
53,5300000,850,Under Construction,2,2,,Mangadu,seller
53,5300000,850,Under Construction,2,2,,Mangadu,seller
50,5000000,905,Ready to move,2,2,6,Singaperumal Koil,seller
325,32500000,1950,Ready to move,4,3,,T Nagar,seller
35,3500000,900,Ready to move,2,2,,Thirumullaivoyal,seller
28,2800000,502,Ready to move,1,1,9,Perungalathur,seller
69,6900000,1071,Ready to move,2,2,1,Madhanandapuram,seller
68.49,6849000,1343,Ready to move,3,4,2,Kandigai,seller
77,7700000,1560,Ready to move,2,2,,Navallur,seller
32,3200000,612,Ready to move,2,2,3,Veppampattu,seller
75,7500000,1456,Ready to move,3,3,,Porur,seller
230,23000000,2590,Ready to move,4,4,,Kundrathur,seller
41,4100000,600,Under Construction,2,2,,Mangadu,seller
45,4500000,1176,Under Construction,2,2,,Guduvancheri,seller
60.21,6021000,782,Under Construction,1,1,,Saidapet,seller
49.5,4950000,1000,Under Construction,2,2,,Medavakkam,seller
25,2500000,605,Ready to move,1,1,4,Thaiyur,seller
41.78,4178000,1045,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd
62.98,6298000,1575,Under Construction,3,,0,Perumbakkam,BSCPL Infrastructure Ltd
63.18,6318000,1580,Under Construction,3,,0,Perumbakkam,BSCPL Infrastructure Ltd
42.18,4218000,1055,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd
64.38,6438000,1610,Under Construction,3,,0,Perumbakkam,BSCPL Infrastructure Ltd
60.58,6058000,1515,Under Construction,3,,0,Perumbakkam,BSCPL Infrastructure Ltd
42.18,4218000,1055,Under Construction,2,,0,Sholinganallur,BSCPL Infrastructure Ltd
60.78,6078000,1520,Under Construction,3,,0,Perumbakkam,BSCPL Infrastructure Ltd
60.58,6058000,1515,Under Construction,3,,0,Sholinganallur,BSCPL Infrastructure Ltd
54.98,5498000,1375,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd
41.02,4102000,1026,Under Construction,2,,0,Sholinganallur,BSCPL Infrastructure Ltd
40.58,4058000,1015,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd
53.58,5358000,1340,Under Construction,2,,0,Sholinganallur,BSCPL Infrastructure Ltd
53.58,5358000,1340,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd
45,4500000,670,Ready to move,2,2,,Oragadam Village Ambattur Talu,seller
19.59,1959000,540,Ready to move,1,2,3,Veppampattu,seller
27,2700000,600,Under Construction,2,4,,Siruseri,seller
37,3700000,793,Under Construction,2,2,,Pattabiram,seller
65,6500000,1047,Ready to move,2,2,4,Perungalathur,seller
165,16500000,3000,Ready to move,6,4,,Madipakkam,seller
59.6,5960000,450,Ready to move,1,1,,T Nagar,seller
38,3800000,825,Ready to move,2,2,,Ambattur,seller
15,1500000,540,Ready to move,2,1,,Mahabalipuram,seller
35,3500000,840,Ready to move,2,2,5,Kelambakkam,seller
35,3500000,850,Ready to move,3,3,,Ayapakkam,seller
40,4000000,655,Ready to move,2,2,,Chitlapakkam,seller
48.5,4850000,1100,Ready to move,2,2,,Guduvancheri,seller
90,9000000,3408,Ready to move,5,5,,Puzhal,seller
100,10000000,1400,Ready to move,3,3,3,Washermanpet,seller
90,9000000,3408,Ready to move,5,5,,Puzhal,seller
65,6500000,1273,Under Construction,3,3,,Thiruverkadu,seller
29,2900000,506,Ready to move,2,1,,Mogappair,seller
28.5,2850000,736,Ready to move,2,2,4,Pozhichalur,seller
26,2600000,850,Ready to move,2,2,3,Veppampattu,seller
45,4500000,950,Under Construction,2,2,,Gerugambakkam,seller
15,1500000,450,Ready to move,1,1,,Mannur,seller
46,4600000,820,Under Construction,2,2,,Guduvancheri,seller
30,3000000,960,Ready to move,2,2,3,Veppampattu,seller
98,9800000,1253,Ready to move,3,2,,Virugambakkam,seller
83,8300000,997,Ready to move,2,,,Virugambakkam,seller
38,3800000,510,Ready to move,1,1,,West Mambalam,seller
135,13500000,1950,Ready to move,3,3,,Kattupakkam,seller
72,7200000,1957,Ready to move,3,3,6,Maraimalai Nagar,seller
40,4000000,1000,Under Construction,2,2,,Kolathur,seller
160,16000000,2300,Ready to move,4,4,,Chetpet,seller
137,13700000,1485,Ready to move,3,3,,Perungudi,seller
59,5900000,1430,Ready to move,3,2,,Sithalapakkam,seller
65,6500000,900,Ready to move,2,2,,Ramapuram,seller
65,6500000,900,Ready to move,2,2,,Ramapuram,seller
120,12000000,2400,Ready to move,5,4,,Virugambakkam,seller
45,4500000,917,Ready to move,2,2,,Thiruverkadu,seller
40,4000000,680,Ready to move,2,1,12,Alandur,seller
30,3000000,950,Under Construction,2,2,,Veppampattu,seller
19.5,1950000,600,Under Construction,1,1,,Red Hills,seller
45,4500000,580,Ready to move,1,1,4,Siruseri,seller
45,4500000,840,Ready to move,2,2,7,Singaperumal Koil,seller
145,14500000,1125,Ready to move,3,2,,K K Nagar,seller
40.7,4070000,760,Under Construction,2,2,,Kandigai,Pon Mariappan
46.06,4606000,940,Ready to move,2,2,5,Iyyappanthangal,HM Homes
50.22,5022000,1025,Ready to move,2,2,5,Iyyappanthangal,HM Homes
43.61,4361000,890,Ready to move,2,2,5,Iyyappanthangal,HM Homes
39.93,3993000,815,Ready to move,2,2,5,Iyyappanthangal,HM Homes
50.47,5047000,1030,Ready to move,2,2,5,Iyyappanthangal,HM Homes
50.47,5047000,1030,Ready to move,2,2,5,Iyyappanthangal,HM Homes
42.23,4223000,862,Ready to move,2,2,5,Iyyappanthangal,HM Homes
250,25000000,1942,Ready to move,3,3,4,Purasawalkam,INTERFACE PROPERTIES
47.02,4702000,825,Ready to move,2,2,3,Ramavaram,HM Homes
47.02,4702000,825,Ready to move,2,2,,Ramapuram,HM Homes
37,3700000,730,Ready to move,2,2,4,Gerugambakkam,R Venkatesan
55.99,5599000,1015,Ready to move,2,2,4,Gerugambakkam,R Venkatesan
54.75,5475000,1020,Ready to move,2,2,,Kovur,R Venkatesan
39.15,3915000,1050,Ready to move,2,2,4,Gerugambakkam,R Venkatesan
58.58,5858000,1100,Ready to move,2,3,4,Gerugambakkam,R Venkatesan
54.22,5422000,1015,Ready to move,2,2,4,Gerugambakkam,R Venkatesan
44.19,4419000,878,Ready to move,2,2,4,Gerugambakkam,R Venkatesan
39.73,3973000,790,Ready to move,2,2,4,Gerugambakkam,R Venkatesan
38.58,3858000,819,Ready to move,2,2,,Kovur,R Venkatesan
38.23,3823000,815,Ready to move,2,2,,Kovur,R Venkatesan
41,4100000,874,Ready to move,2,3,,Kovur,R Venkatesan
38.53,3853000,799,Ready to move,2,2,,Kovur,R Venkatesan
24,2400000,1010,Under Construction,2,2,,Veppampattu,viswaraj
800,80000000,5000,Ready to move,4,3,,Shenoy Nagar,INTERFACE PROPERTIES
265,26500000,1650,Ready to move,3,3,,Besant Nagar,INTERFACE PROPERTIES
47.02,4702000,825,Ready to move,2,2,,Ramapuram,HM Homes
47.02,4702000,825,Ready to move,2,2,,Ramapuram,HM Homes
79.8,7980000,1400,Ready to move,3,3,3,Ramavaram,HM Homes
56,5600000,1258,Ready to move,2,2,,Sholinganallur,INTERFACE PROPERTIES
50.22,5022000,1025,Ready to move,3,3,,Kolapakkam,HM Homes
390,39000000,4000,Ready to move,4,4,,Saligramam,INTERFACE PROPERTIES
50.22,5022000,1025,Ready to move,3,3,,Kolapakkam,HM Homes
40.42,4042000,825,Ready to move,2,2,,Kolapakkam,HM Homes
54,5400000,1000,Ready to move,2,3,,Kovur,Shiva
110,11000000,974,Ready to move,2,2,,Thiruvanmiyur,S Suresh Kumar
42.14,4214000,860,Ready to move,2,2,,Kolapakkam,HM Homes
200,20000000,1844,Ready to move,3,3,16,Velachery,seller
59,5900000,1096,Ready to move,3,2,9,Thiruverkadu,seller
41.7,4170000,760,Under Construction,2,2,,Kandigai,Pon Mariappan
40.75,4075000,750,Under Construction,2,2,,Kandigai,Pon Mariappan
168,16800000,994,Under Construction,2,2,0,Royapettah,MEHTA REAL ESTATE CHENNAI LLP
43,4300000,891,Ready to move,2,2,,Thandalam,Shiva
48.99,4899000,800,Under Construction,2,2,,Kelambakkam,Balamurugan
49,4900000,800,Under Construction,2,2,,Kelambakkam,Balamurugan
375,37500000,2200,Ready to move,4,4,,Valasaravakkam,MEHTA REAL ESTATE CHENNAI LLP
168,16800000,994,Ready to move,2,2,,Royapettah,MEHTA REAL ESTATE CHENNAI LLP
44.5,4450000,918,Ready to move,3,2,,Padur,Alliance Group
27.6,2760000,600,Under Construction,2,2,,Semmancheri,Royal Square
27.6,2760000,600,Under Construction,2,2,,Semmancheri,Royal Square
31.6,3160000,750,Under Construction,2,2,,Ottiyabakkam,Royal Square
34,3400000,700,Under Construction,2,2,,Semmancheri,Royal Square
550,55000000,4000,Ready to move,4,3,,T Nagar,INTERFACE PROPERTIES
190,19000000,1550,Ready to move,3,3,,Anna Nagar,INTERFACE PROPERTIES
550,55000000,4600,Ready to move,5,4,,Anna Nagar,INTERFACE PROPERTIES
85.09,8509000,1340,Under Construction,3,,0,East Tambaram,Proparena
63.62,6362000,1002,Under Construction,2,,0,East Tambaram,Proparena
63.56,6356000,1001,Under Construction,2,,0,East Tambaram,Proparena
68.13,6813000,1073,Under Construction,2,,0,East Tambaram,Proparena
62.35,6235000,982,Under Construction,2,,0,East Tambaram,Proparena
61.27,6127000,965,Under Construction,2,,0,East Tambaram,Proparena
93.21,9321000,1468,Under Construction,3,,0,East Tambaram,Proparena
84.77,8477000,1335,Under Construction,3,,0,East Tambaram,Proparena
90.99,9099000,1433,Under Construction,3,,0,East Tambaram,Proparena
55,5500000,1000,Ready to move,2,2,,Nanganallur,seller
362,36200000,2133,Under Construction,2,2,0,T Nagar,Propsource Realty Private Limited
35,3500000,620,Ready to move,1,1,3,Pallikaranai,Propsource Realty Private Limited
350,35000000,4361,Ready to move,4,4,,Muttukadu,seller
44.5,4450000,918,Ready to move,3,2,,Padur,Alliance Group
38.5,3850000,800,Ready to move,2,2,6,Tharapakkam,Shiva
420,42000000,1975,Ready to move,3,3,6,Egmore,MEHTA REAL ESTATE CHENNAI LLP
40.08,4008000,835,Ready to move,2,,2,Pozhichalur,Sandhya
40.22,4022000,838,Ready to move,2,,2,Pozhichalur,Sandhya
32.3,3230000,673,Ready to move,2,,2,Pozhichalur,Sandhya
427,42700000,3700,Under Construction,4,4,,Kilpauk,MEHTA REAL ESTATE CHENNAI LLP
99,9900000,1500,Under Construction,3,3,,Iyyappanthangal,Shiva
55,5500000,1000,Ready to move,2,3,,Kovur,Shiva
37.8,3780000,790,Ready to move,2,2,4,Gerugambakkam,Shiva
44,4400000,938,Ready to move,2,2,,Kovur,Shiva
39.88,3988000,1040,Under Construction,3,2,0,Siruseri,Alliance Group
185,18500000,1490,Ready to move,3,3,,Kilpauk,MEHTA REAL ESTATE CHENNAI LLP
130,13000000,1330,Ready to move,2,3,,Chetpet,MEHTA REAL ESTATE CHENNAI LLP
492,49200000,2889,Ready to move,3,3,,Anna Nagar East,MEHTA REAL ESTATE CHENNAI LLP
58,5800000,1318,Ready to move,3,3,,Kattupakkam,MEHTA REAL ESTATE CHENNAI LLP
236,23600000,1657,Ready to move,3,3,7,Egmore,MEHTA REAL ESTATE CHENNAI LLP
147,14700000,1550,Ready to move,3,3,,Ayanavaram,MEHTA REAL ESTATE CHENNAI LLP
150,15000000,1350,Ready to move,3,3,,Anna Nagar East,MEHTA REAL ESTATE CHENNAI LLP
115,11500000,1150,Ready to move,2,2,,Egmore,MEHTA REAL ESTATE CHENNAI LLP
230,23000000,1440,Ready to move,3,3,,Royapettah,MEHTA REAL ESTATE CHENNAI LLP
110,11000000,1310,Ready to move,2,2,,Ayanavaram,MEHTA REAL ESTATE CHENNAI LLP
125,12500000,1765,Under Construction,3,3,0,Navallur,Propsource Realty Private Limited
299,29900000,2000,Under Construction,3,3,0,Guindy,Propsource Realty Private Limited
96,9600000,1900,Under Construction,3,3,0,Perungalathur,Propsource Realty Private Limited
87.8,8780000,1541,Under Construction,3,3,0,Pallavaram,Propsource Realty Private Limited
79.8,7980000,1400,Under Construction,3,3,0,Pallavaram,Propsource Realty Private Limited
44.16,4416000,803,Ready to move,2,,2,Pammal,Murali
41.58,4158000,756,Ready to move,1,,2,Pammal,Murali
32.01,3201000,582,Ready to move,1,,2,Pammal,Murali
73,7300000,1737,Ready to move,3,3,7,Kelambakkam,seller
18.49,1849000,520,Ready to move,1,2,3,Veppampattu,seller
24.09,2409000,502,Under Construction,1,,0,Pozhichalur,Sandhya
33.93,3393000,707,Under Construction,2,,0,Pozhichalur,Sandhya
22.84,2284000,476,Under Construction,1,,0,Pozhichalur,Sandhya
35.85,3585000,747,Under Construction,2,,0,Pozhichalur,Sandhya
23.13,2313000,503,Under Construction,1,,0,Anakaputhur,Sandhya
41.63,4163000,905,Under Construction,3,,0,Anakaputhur,Sandhya
32.75,3275000,712,Under Construction,2,,0,Anakaputhur,Sandhya
32.2,3220000,700,Under Construction,2,,0,Anakaputhur,Sandhya
20.56,2056000,447,Under Construction,1,,0,Anakaputhur,Sandhya
57,5700000,1075,Ready to move,2,2,6,Tharapakkam,Shiva
54,5400000,950,Under Construction,2,2,,Gerugambakkam,Shiva
600,60000000,2300,Under Construction,3,3,,Raja Annamalai Puram,MEHTA REAL ESTATE CHENNAI LLP
385,38500000,2336,Ready to move,3,3,6,Royapettah,MEHTA REAL ESTATE CHENNAI LLP
225,22500000,1950,Ready to move,3,3,,Aminjikarai,MEHTA REAL ESTATE CHENNAI LLP
393,39300000,2133,Under Construction,3,3,0,T Nagar,MEHTA REAL ESTATE CHENNAI LLP
240,24000000,2028,Ready to move,3,3,7,Purasaiwakkam,MEHTA REAL ESTATE CHENNAI LLP
277,27700000,2350,Ready to move,3,3,7,Purasaiwakkam,MEHTA REAL ESTATE CHENNAI LLP
55.21,5521000,986,Ready to move,2,2,,Kolathur,Tellus Foundation
55.21,5521000,986,Ready to move,2,2,,Kolathur,Tellus Foundation
36.42,3642000,710,Ready to move,1,2,,Kovur,R Venkatesan
35.26,3526000,619,Ready to move,1,1,,Kovur,R Venkatesan
35.52,3552000,629,Ready to move,1,2,,Kovur,R Venkatesan
72,7200000,1517,Ready to move,3,3,6,Periyapanicheri,R Venkatesan
55,5500000,1020,Ready to move,2,2,,Kovur,R Venkatesan
28,2800000,650,Under Construction,2,2,,Kattankulathur,R Venkatesan
79,7900000,1440,Under Construction,3,3,,Ambattur,seller
110,11000000,2009,Under Construction,3,3,,Kotivakkam,seller
44,4400000,1012,Ready to move,2,2,4,Kumananchavadi,seller
82,8200000,1750,Ready to move,3,3,,Kolapakkam,seller
70,7000000,1499,Ready to move,3,3,11,Mogappair,seller
165,16500000,1500,Ready to move,3,3,4,Alandur,Jayakanthan
36,3600000,900,Under Construction,2,3,,Veppampattu,viswaraj
24,2400000,1100,Under Construction,2,2,,Veppampattu,viswaraj
26,2600000,720,Ready to move,2,2,3,Veppampattu,viswaraj
34,3400000,1150,Under Construction,2,2,,Perumalpattu,viswaraj
26,2600000,720,Ready to move,2,2,3,Veppampattu,viswaraj
26,2600000,720,Ready to move,2,2,3,Veppampattu,viswaraj
36,3600000,835,Under Construction,2,2,,Veppampattu,viswaraj
50.49,5049000,1020,Under Construction,3,,0,Pozhichalur,Individual Agent
29.7,2970000,600,Under Construction,1,,0,Pozhichalur,Individual Agent
40.34,4034000,815,Under Construction,2,,0,Pozhichalur,Individual Agent
46.03,4603000,930,Under Construction,2,,0,Pozhichalur,Individual Agent
49.5,4950000,1000,Under Construction,3,,0,Pozhichalur,Individual Agent
34.15,3415000,690,Under Construction,2,,0,Pozhichalur,Individual Agent
48.26,4826000,975,Under Construction,2,,0,Pozhichalur,Individual Agent
39.6,3960000,800,Under Construction,2,,0,Pozhichalur,Individual Agent
52.5,5250000,960,Ready to move,2,,1,Sembakkam,Individual Agent
44,4400000,800,Ready to move,2,,1,Sembakkam,Individual Agent
32,3200000,1000,Ready to move,2,2,3,Veppampattu,Naveen
25,2500000,640,Ready to move,1,,,Thirumazhisai,seller
60,6000000,782,Ready to move,2,2,17,Mogappair,seller
76,7600000,1028,Ready to move,2,2,,Velachery,seller
325,32500000,1710,Ready to move,3,3,,Nungambakkam,seller
26,2600000,1255,Under Construction,2,2,,Veppampattu,viswaraj
17,1700000,752,Ready to move,1,2,3,Veppampattu,viswaraj
24,2400000,1100,Under Construction,2,2,,Veppampattu,viswaraj
16,1600000,681,Ready to move,1,2,3,Veppampattu,viswaraj
34,3400000,901,Ready to move,2,2,2,Perumalpattu,viswaraj
17,1700000,751,Ready to move,1,2,3,Veppampattu,viswaraj
34,3400000,1150,Ready to move,2,2,2,Perumalpattu,viswaraj
165,16500000,1541,Under Construction,3,3,,Nanganallur,seller
30,3000000,1500,Under Construction,2,2,,Veppampattu,viswaraj
22,2200000,1010,Under Construction,1,2,,Veppampattu,viswaraj
22,2200000,1010,Under Construction,1,2,,Veppampattu,viswaraj
28,2800000,800,Under Construction,2,2,,Veppampattu,viswaraj
30,3000000,1500,Under Construction,2,2,,Veppampattu,viswaraj
43,4300000,550,Ready to move,2,2,,Ayapakkam,Shanmugam Property
62,6200000,1295,Ready to move,2,2,,Siruseri,seller
115,11500000,1238,Ready to move,3,3,,Kodambakkam,seller
140,14000000,2200,Ready to move,6,4,,Kolathur,seller
17,1700000,750,Ready to move,1,2,3,Veppampattu,viswaraj
17,1700000,750,Ready to move,1,2,3,Veppampattu,viswaraj
22,2200000,1010,Under Construction,1,2,,Veppampattu,viswaraj
17,1700000,751,Ready to move,1,2,3,Veppampattu,viswaraj
24,2400000,1250,Under Construction,2,2,,Veppampattu,viswaraj
24,2400000,1250,Under Construction,2,2,,Veppampattu,viswaraj
21.5,2150000,1020,Under Construction,1,2,,Veppampattu,viswaraj
35,3500000,808,Ready to move,2,2,,Kovur,viswaraj
22,2200000,601,Under Construction,1,2,,Veppampattu,viswaraj
140,14000000,2590,Ready to move,6,,,Kolathur,seller
35,3500000,1500,Ready to move,1,1,,Sevvapet,seller
35,3500000,810,Ready to move,2,2,,Kovur,viswaraj
16.5,1650000,750,Ready to move,1,2,3,Veppampattu,viswaraj
29.5,2950000,1500,Under Construction,2,2,,Veppampattu,viswaraj
26,2600000,1250,Under Construction,2,2,,Veppampattu,viswaraj
40,4000000,652,Ready to move,2,2,,Maraimalai Nagar,seller
45,4500000,1112,Ready to move,2,2,,Guduvancheri,seller
30,3000000,690,Ready to move,2,2,,Chromepet,seller
36,3600000,902,Ready to move,2,2,3,Veppampattu,Naveen
40,4000000,1000,Ready to move,2,2,3,Veppampattu,Naveen
35,3500000,850,Ready to move,2,2,3,Veppampattu,Naveen
36,3600000,900,Ready to move,2,2,3,Veppampattu,Naveen
140,14000000,2200,Ready to move,5,3,,Chromepet,seller
62,6200000,1250,Ready to move,2,2,,tambaram west,Value reality
19,1900000,1090,Under Construction,1,2,,Veppampattu,viswaraj
34,3400000,1151,Ready to move,2,2,2,Perumalpattu,viswaraj
34,3400000,1151,Ready to move,2,2,3,Veppampattu,viswaraj
28,2800000,801,Under Construction,2,2,,Veppampattu,viswaraj
30,3000000,820,Ready to move,2,2,3,Veppampattu,viswaraj
24,2400000,1200,Under Construction,2,2,,Veppampattu,viswaraj
35,3500000,810,Ready to move,2,2,,Kovur,viswaraj
16.5,1650000,680,Ready to move,1,2,3,Veppampattu,viswaraj
21.9,2190000,600,Under Construction,1,2,,Veppampattu,viswaraj
40,4000000,904,Ready to move,2,2,8,Kovilambakkam,seller
210,21000000,1400,Ready to move,1,2,3,Raja Annamalai Puram,Swaminathan
525,52500000,3170,Ready to move,3,4,3,Raja Annamalai Puram,Swaminathan
150,15000000,2440,Under Construction,4,5,,Madipakkam,seller
22,2200000,600,Under Construction,1,2,,Veppampattu,viswaraj
70.61,7061000,1139,Ready to move,2,,1,Perungudi,smartassetsindia
52.08,5208000,840,Ready to move,2,2,1,Perungudi,smartassetsindia
90.7,9070000,1463,Ready to move,3,,1,Perungudi,smartassetsindia
107,10700000,1730,Ready to move,3,,1,Perungudi,smartassetsindia
74.21,7421000,1197,Ready to move,2,,1,Perungudi,smartassetsindia
43,4300000,799,Ready to move,2,2,,Rajakilpakkam,seller
16,1600000,500,Ready to move,1,1,3,Veppampattu,Naveen
45,4500000,1200,Under Construction,3,2,,Veppampattu,Naveen
34,3400000,1150,Under Construction,2,2,,Veppampattu,viswaraj
29,2900000,1500,Under Construction,2,2,,Veppampattu,viswaraj
37,3700000,1136,Under Construction,2,2,,Veppampattu,viswaraj
